DOM1	AGGR_STRATUM	X1	X2	X3	X4	X5	X6
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	2
1	1	2	1	2	1	1	1
1	1	3	2	1	2	1	1
1	2	1	1	1	2	1	1
1	2	1	1	2	1	1	1
1	2	6	2	2	2	1	2
1	3	1	2	1	1	1	1
1	3	4	1	3	1	1	1
1	3	6	2	2	2	2	1
1	3	7	1	2	1	1	2
1	3	7	2	2	1	2	1
1	3	8	2	1	1	2	1
1	3	9	1	1	1	2	1
1	4	1	2	1	2	1	1
1	4	2	1	1	1	1	1
1	4	3	1	1	1	1	1
1	4	3	2	2	1	1	1
1	4	3	3	2	2	1	1
1	4	4	3	1	2	1	1
1	5	1	2	1	3	1	1
1	5	1	2	2	1	1	1
1	5	2	1	1	2	1	1
1	5	2	2	1	2	1	1
1	5	4	2	1	2	1	1
1	5	5	1	1	1	1	1
1	5	5	1	1	1	1	2
1	5	5	1	1	1	2	1
1	5	5	2	2	1	1	1
1	5	5	2	2	1	2	1
1	5	6	1	2	1	1	1
1	5	6	1	3	1	1	2
1	5	6	3	2	2	2	1
1	5	7	1	2	1	1	1
1	5	9	3	2	3	2	1
1	6	1	3	1	2	1	1
1	6	4	3	2	2	2	1
1	6	4	3	2	3	1	1
1	6	6	2	1	1	2	1
1	6	7	1	1	1	1	1
1	6	7	1	1	1	1	2
1	6	7	1	1	1	2	1
1	6	8	1	2	1	2	2
1	6	8	2	2	1	1	1
1	6	8	2	2	2	2	1
1	6	9	1	1	1	2	2
1	6	9	3	2	2	2	2
1	6	9	3	3	2	2	1
1	6	9	3	3	2	2	2
1	6	10	1	1	1	1	1
1	6	10	1	1	1	1	2
1	6	10	1	1	1	2	1
1	6	10	1	2	1	2	1
1	6	10	1	3	1	2	2
1	6	10	2	1	2	2	1
1	6	10	2	2	1	2	3
1	6	11	1	1	1	2	1
1	6	11	1	1	1	2	2
1	6	11	1	2	1	2	2
1	6	12	1	1	1	2	1
1	6	12	1	1	1	2	2
1	6	12	2	2	1	2	3
1	6	13	1	1	1	2	2
1	6	13	1	2	1	2	2
1	7	9	2	1	3	1	1
1	7	11	1	2	1	2	1
1	7	11	2	1	1	2	2
1	7	12	1	2	1	2	3
1	7	12	2	1	1	2	3
1	7	13	1	1	1	1	2
1	7	13	1	1	1	2	1
1	7	14	1	1	1	2	2
1	7	14	1	2	1	2	2
1	7	14	1	3	1	2	3
1	7	14	2	1	1	2	1
1	8	9	2	2	1	2	3
1	8	17	1	1	1	3	2
1	8	17	2	2	1	3	2
1	9	2	2	1	1	1	1
1	9	2	2	2	2	1	1
1	9	3	1	1	1	1	2
1	9	3	1	1	2	1	1
1	9	3	1	2	1	1	1
1	9	3	2	1	1	1	1
1	9	3	2	1	1	2	1
1	9	3	2	2	2	1	1
1	9	3	3	1	2	1	1
1	9	4	1	1	2	1	1
1	9	4	2	1	1	1	1
1	9	4	2	2	1	1	1
1	9	4	3	1	1	1	1
